200,2,4
200,1,4
300,0,4
300,2,3
440,2,4
320,1,4
340,0,4
320,2,4
320,1,4
320,0,4
320,3,4
400,2,4
380,1,4
380,0,4
380,0,1
380,2,4
380,1,4
380,2,3
380,0,1
380,2,4
380,1,4
380,3,4
100,2,4
230,3,4
230,2,4
300,1,4
300,0,4
300,2,4
300,1,4
300,0,4
230,3,4
300,0,4
300,1,4
300,3,4
300,0,4
300,1,4
260,2,4
310,1,4
310,0,4
310,2,4
310,1,4
310,0,4
210,3,4
310,0,4
310,1,4
330,2,4
300,0,1
360,0,1
300,2,4
360,1,4
360,0,4
300,3,4
360,0,4
360,1,4
300,2,4
360,1,4
360,0,4
300,3,4
360,0,4
360,1,4
300,2,4
360,1,4
360,0,4
300,3,4
360,0,4
360,1,4
300,2,4
360,1,4
360,0,4
300,3,4
360,0,4
360,1,4
300,2,4
360,1,4
360,0,4
300,3,4
360,0,4
360,1,4
300,2,4
360,1,4
360,0,4
300,3,4
360,0,4
360,1,4
300,2,4
360,1,4
360,0,4
300,3,4
360,0,4
360,1,4
300,1,0
400,1,0
300,2,4
360,1,4
360,0,4
300,3,4
360,0,4
360,1,4
320,0,1
320,0,1
260,2,3
380,2,4
380,1,4
380,0,4
380,1,4
300,3,4
380,0,4
380,1,4
380,0,4
380,2,4
380,1,4
300,0,4
360,1,4
380,2,4
380,1,4
380,0,4
380,1,4
300,3,4
380,0,4
380,1,4
380,0,4
380,2,4
380,1,4
300,0,4
360,1,4
380,2,4
380,1,4
380,0,4
380,1,4
300,3,4
380,0,4
380,1,4
380,0,4
380,2,4
380,1,4
300,0,4
360,1,4
300,3,4
380,0,4
380,1,4
380,0,4
380,2,4
380,1,4
300,0,4
380,1,4
380,0,4
380,1,4
380,0,4
380,2,4
380,1,4
300,0,4
380,1,4
380,1,4
380,0,4
380,1,4
380,0,4
380,2,4
380,1,4
300,0,4
380,1,4
