440,2,4
440,1,4
440,0,4
440,3,4
440,2,4
440,1,4
440,0,4
440,3,4
340,0,1
280,2,3
280,0,1
280,2,3
280,0,1
280,2,3
280,0,1
280,2,3
280,0,1
270,2,3
270,0,1
270,2,3
270,0,1
370,2,4
370,1,4
370,0,2
370,3,1
370,0,4
370,3,4
370,2,3
370,0,1
370,2,3
320,2,4
260,2,4
260,0,4
260,0,4
260,1,4
260,1,4
260,3,4
260,3,4
260,2,4
260,2,4
260,0,4
260,0,4
260,1,4
260,1,4
260,3,4
260,3,4
380,2,4
380,1,4
380,0,4
380,3,4
380,2,4
380,1,4
380,0,4
380,3,4
380,3,4
380,0,4
380,1,4
380,2,4
380,3,4
380,0,4
380,1,4
380,2,4
380,2,4
380,1,4
380,0,4
400,3,4
400,2,4
400,1,4
400,0,4
400,3,4
420,3,4
420,0,4
420,1,4
420,2,4
440,3,4
440,0,4
440,1,4
440,2,4
300,2,3
400,2,3
260,0,1
400,0,1
260,2,3
400,2,3
260,0,1
400,0,1
260,2,3
400,2,3
180,0,1
280,0,1
220,3,2
220,3,2
220,3,2
220,3,2
240,0,1
240,0,1
240,3,2
240,3,2
240,0,1
240,0,1
240,3,2
240,3,2
180,0,1
180,0,1
140,2,3
